
27,1972,14,1972-12-16,26-268,SFO,,MIN,W 20-17,10,43,4.30,0,,4,36,9.00,0,2,78,39.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
28,1973,1,1973-09-16,27-177,SFO,@,MIA,L 13-21,14,55,3.93,1,,8,57,7.13,0,0,0,,0,1,6
29,1973,2,1973-09-23,27-184,SFO,@,DEN,W 36-34,16,41,2.56,1,,3,29,9.67,0,0,0,,0,1,6
30,1973,3,1973-09-30,27-191,SFO,,RAM,L 20-40,6,38,6.33,1,,1,8,8.00,0,5,90,18.00,0,1,6
31,1973,4,1973-10-07,27-198,SFO,@,ATL,W 13-9,12,42,3.50,1,,1,20,20.00,0,2,70,35.00,0,1,6
32,1973,5,1973-10-14,27-205,SFO,,MIN,L 13-17,7,20,2.86,0,,2,4,2.00,0,1,20,20.00,0,0,0
33,1973,6,1973-10-21,27-212,SFO,,NOR,W 40-0,18,38,2.11,2,,3,23,7.67,0,0,0,,0,2,12
34,1973,7,1973-10-28,27-219,SFO,,ATL,L 3-17,13,59,4.54,0,,4,2,0.50,0,3,67,22.33,0,0,0
35,1973,8,1973-11-04,27-226,SFO,@,DET,L 20-30,10,22,2.20,0,,2,14,7.00,0,7,158,22.57,0,0,0
36,1973,9,1973-11-11,27-233,SFO,@,WAS,L 9-33,0,0,,0,,2,15,7.50,0,3,61,20.33,0,0,0
37,1973,10,1973-11-18,27-240,SFO,@,RAM,L 13-31,8,14,1.75,1,,1,12,12.00,0,2,46,23.00,0,1,6
38,1973,11,1973-11-26,27-248,SFO,,GNB,W 20-6,21,94,4.48,1,,2,22,11.00,0,1,37,37.00,0,1,6
39,1973,13,1973-12-09,27-261,SFO,@,NOR,L 10-16,11,46,4.18,0,,2,18,9.00,0,0,0,,0,0,0
40,1973,14,1973-12-15,27-267,SFO,,PIT,L 14-37,15,65,4.33,0,,2,14,7.00,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
41,1974,1,1974-09-15,28-176,HOU,,SDG,W 21-14,0,0,,0,,0,0,,0,3,82,27.33,0,0,0
42,1974,2,1974-09-22,28-183,HOU,@,CLE,L 7-20,8,24,3.00,0,,1,15,15.00,0,3,83,27.67,0,0,0
43,1974,4,1974-10-06,28-197,HOU,,PIT,L 7-13,6,24,4.00,0,,1,2,2.00,0,0,0,,0,0,0
44,1974,5,1974-10-13,28-204,HOU,@,MIN,L 10-51,4,4,1.00,1,,3,23,7.67,0,0,0,,0,1,6
45,1974,7,1974-10-27,28-218,HOU,@,CIN,W 34-21,9,41,4.56,0,,0,0,,0,1,12,12.00,0,0,0
46,1974,8,1974-11-03,28-225,HOU,@,NYJ,W 27-22,3,9,3.00,0,,0,0,,0,0,0,,0,0,0
47,1974,9,1974-11-10,28-232,HOU,@,BUF,W 21-9,18,58,3.22,1,,2,16,8.00,0,0,0,,0,1,6
48,1974,10,1974-11-17,28-239,HOU,,CIN,W 20-3,9,49,5.44,0,,0,0,,0,0,0,,0,0,0
49,1974,11,1974-11-24,28-246,HOU,,DAL,L 0-10,6,12,2.00,0,,4,21,5.25,0,0,0,,0,0,0
50,1974,13,1974-12-08,28-260,HOU,@,DEN,L 14-37,1,2,2.00,0,,2,15,7.50,0,0,0,,0,0,0
51,1974,14,1974-12-15,28-267,HOU,,CLE,W 28-24,10,58,5.80,0,,0,0,,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
52,1975,2,1975-09-28,29-189,BUF,@,PIT,W 30-21,0,0,,0,,0,0,,0,2,41,20.50,0,0,0
53,1975,3,1975-10-05,29-196,BUF,,DEN,W 38-14,2,13,6.50,0,,0,0,,0,1,15,15.00,0,0,0
54,1975,4,1975-10-12,29-203,BUF,@,BAL,W 38-31,0,0,,0,,0,0,,0,3,47,15.67,0,0,0
55,1975,5,1975-10-20,29-211,BUF,,NYG,L 14-17,1,3,3.00,0,,0,0,,0,3,70,23.33,0,0,0
56,1975,6,1975-10-26,29-217,BUF,,MIA,L 30-35,0,0,,0,,0,0,,0,5,156,31.20,0,0,0
57,1975,7,1975-11-02,29-224,BUF,@,NYJ,W 24-23,0,0,,0,,0,0,,0,3,76,25.33,0,0,0
58,1975,9,1975-11-17,29-239,BUF,@,CIN,L 24-33,0,0,,0,,0,0,,0,5,152,30.40,0,0,0
59,1975,10,1975-11-23,29-245,BUF,,NWE,W 45-31,0,0,,0,,0,0,,0,3,136,45.33,0,0,0
60,1975,11,1975-11-27,29-249,BUF,@,STL,W 32-14,0,0,,0,,0,0,,0,3,55,18.33,0,0,0
61,1975,12,1975-12-07,29-259,BUF,@,MIA,L 21-31,0,0,,0,,0,0,,0,3,78,26.00,0,0,0
62,1975,13,1975-12-14,29-266,BUF,@,NWE,W 34-14,4,30,7.50,0,,0,0,,0,1,16,16.00,0,0,0
63,1975,14,1975-12-20,29-272,BUF,,MIN,L 13-35,2,3,1.50,0,,2,21,10.50,0,3,81,27.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
64,1976,1,1976-09-13,30-174,BUF,,MIA,L 21-30,19,56,2.95,0,,3,29,9.67,0,3,63,21.00,0,0,0
65,1976,2,1976-09-19,30-180,BUF,,HOU,L 3-13,3,9,3.00,0,,0,0,,0,0,0,,0,0,0
,,,65 Games,,,,,33-31-1,588,2208,3.76,16,,130,1090,8.38,5,129,3341,25.90,1,22,132
