
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Sk,Tkl,Ast
28,2014,1,2014-09-07,27-045,MIN,@,STL,W 34-6,2,10,5.00,0,1,1,5,5.00,0,0,0,,0,,0,0,0.0,0,0
29,2014,2,2014-09-14,27-052,MIN,,NWE,L 7-30,13,36,2.77,0,7,5,48,9.60,1,0,0,,0,,1,6,0.0,0,0
30,2014,3,2014-09-21,27-059,MIN,@,NOR,L 9-20,12,35,2.92,0,6,3,36,12.00,0,0,0,,0,,0,0,0.0,0,0
31,2014,4,2014-09-28,27-066,MIN,,ATL,W 41-28,20,78,3.90,3,4,3,22,7.33,0,0,0,,0,,3,18,0.0,0,0
32,2014,5,2014-10-02,27-070,MIN,@,GNB,L 10-42,15,72,4.80,0,3,0,0,,0,0,0,,0,,0,0,0.0,0,0
33,2014,6,2014-10-12,27-080,MIN,,DET,L 3-17,2,-5,-2.50,0,2,1,18,18.00,0,0,0,,0,,0,0,0.0,1,0
34,2014,7,2014-10-19,27-087,MIN,@,BUF,L 16-17,6,24,4.00,0,2,1,13,13.00,0,0,0,,0,,0,0,0.0,0,0
35,2014,8,2014-10-26,27-094,MIN,@,TAM,W 19-13,4,1,0.25,0,5,4,26,6.50,0,0,0,,0,,0,0,0.0,0,0
36,2014,9,2014-11-02,27-101,MIN,,WAS,W 29-26,10,26,2.60,3,5,4,31,7.75,0,0,0,,0,1,3,20,0.0,0,0
37,2014,10,2014-11-16,27-115,MIN,@,CHI,L 13-21,1,2,2.00,0,5,3,12,4.00,0,1,4,4.00,0,,0,0,0.0,0,0
38,2014,12,2014-11-30,27-129,MIN,,CAR,W 31-13,14,52,3.71,0,4,4,5,1.25,0,0,0,,0,,0,0,0.0,0,0
39,2014,13,2014-12-07,27-136,MIN,,NYJ,W 30-24,19,54,2.84,0,4,3,10,3.33,0,1,12,12.00,0,,0,0,0.0,0,0
40,2014,14,2014-12-14,27-143,MIN,@,DET,L 14-16,11,36,3.27,1,7,7,50,7.14,0,0,0,,0,,1,6,0.0,1,0
41,2014,15,2014-12-21,27-150,MIN,@,MIA,L 35-37,16,58,3.63,2,4,3,19,6.33,0,0,0,,0,1,2,14,0.0,0,0
42,2014,16,2014-12-28,27-157,MIN,,CHI,W 13-9,19,91,4.79,0,4,2,17,8.50,0,2,31,15.50,0,,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Sk,Tkl,Ast
43,2015,1,2015-09-14,28-052,MIN,@,SFO,L 3-20,1,4,4.00,0,2,2,28,14.00,0,0,0,,0,,0,0,0.0,0,0
44,2015,2,2015-09-20,28-058,MIN,,DET,W 26-16,2,8,4.00,0,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
45,2015,3,2015-09-27,28-065,MIN,,SDG,W 31-14,2,10,5.00,0,2,2,5,2.50,0,0,0,,0,,0,0,0.0,0,0
46,2015,4,2015-10-04,28-072,MIN,@,DEN,L 20-23,1,3,3.00,0,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
47,2015,5,2015-10-18,28-086,MIN,,KAN,W 16-10,5,27,5.40,0,1,1,8,8.00,0,0,0,,0,,0,0,0.0,0,0
48,2015,6,2015-10-25,28-093,MIN,@,DET,W 28-19,0,0,,0,2,2,5,2.50,0,0,0,,0,,0,0,0.0,0,0
49,2015,7,2015-11-01,28-100,MIN,@,CHI,W 23-20,1,5,5.00,0,3,3,6,2.00,0,0,0,,0,,0,0,0.0,0,0
50,2015,8,2015-11-08,28-107,MIN,,STL,W 21-18,2,4,2.00,0,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
51,2015,9,2015-11-15,28-114,MIN,@,OAK,W 30-14,2,7,3.50,0,2,2,18,9.00,0,0,0,,0,,0,0,0.0,0,0
,,,51 Games,,,,,28-22-1,227,813,3.58,12,84,62,397,6.40,1,9,130,14.44,0,2,13,82,0.0,6,1
